,year,dew,10_year_rolling_avg
0,1980,4.40194292653309,
1,1981,5.222222222222222,
2,1982,5.223592085235921,
3,1983,6.1248097412480975,
4,1984,6.54143897996357,
5,1985,5.636529680365297,
6,1986,5.675494672754947,
7,1987,6.077168949771689,
8,1988,5.161657559198543,
9,1989,5.382648401826485,5.5448
10,1990,6.792085235920853,5.7838
11,1991,6.478843226788433,5.9094
12,1992,4.915148755312689,5.8786
13,1993,5.477777777777778,5.8139
14,1994,5.0788432267884325,5.6676
15,1995,4.994216133942161,5.6034
16,1996,5.466454159077109,5.5825
17,1997,5.092998477929985,5.4841
18,1998,6.80882800608828,5.6488
19,1999,5.985540334855403,5.7091
20,2000,5.546903460837887,5.5846
21,2001,6.2336377473363775,5.56
22,2002,6.1398782343987826,5.6825
23,2003,5.870471841704719,5.7218
24,2004,5.781268973891924,5.792
25,2005,5.559512937595129,5.8485
26,2006,5.680974124809741,5.87
27,2007,4.5738203957382035,5.8181
28,2008,4.572252580449302,5.5944
29,2009,4.797869101978691,5.4757
30,2010,5.064231354642313,5.4274
31,2011,6.169558599695585,5.421
32,2012,6.25,5.432
33,2013,4.859512937595129,5.3309
34,2014,3.8788432267884323,5.1407
35,2015,4.821917808219178,5.0669
36,2016,5.383120825743776,5.0371
37,2017,7.007458143074581,5.2805
38,2018,7.364840182648401,5.5597
39,2019,6.792389649923896,5.7592
40,2020,7.530661809350334,6.0058
41,2021,6.913394216133941,6.0802
42,2022,5.547488584474886,6.01
43,2023,7.093302891933029,6.2333
0,2024,7.1206,6.5575
1,2025,8.7663,6.952
2,2026,8.3614,7.2498
3,2027,8.8429,7.4333
4,2028,7.4769,7.4445
5,2029,8.0343,7.5687
6,2030,6.9669,7.5123
7,2031,8.2334,7.6443
8,2032,7.693,7.8589
9,2033,8.8201,8.0316
10,2034,8.9929,8.2188
11,2035,7.6959,8.1118
12,2036,8.8969,8.1653
13,2037,8.8737,8.1684
14,2038,8.566,8.2773
15,2039,7.3948,8.2134
16,2040,8.1871,8.3354
17,2041,8.8245,8.3945
18,2042,7.4136,8.3666
19,2043,10.1369,8.4982
20,2044,9.0157,8.5005
21,2045,8.898,8.6207
22,2046,7.5523,8.4863
23,2047,8.8887,8.4878
24,2048,8.5703,8.4882
25,2049,9.5761,8.7063
26,2050,8.3639,8.724
27,2051,7.9603,8.6376
28,2052,9.2402,8.8202
29,2053,9.4485,8.7514
30,2054,10.0861,8.8584
31,2055,9.7698,8.9456
32,2056,10.75,9.2654
33,2057,10.0079,9.3773
34,2058,9.627,9.483
35,2059,9.9499,9.5204
36,2060,9.8469,9.6687
37,2061,9.1896,9.7916
38,2062,8.9723,9.7648
39,2063,10.32,9.8519
40,2064,9.8138,9.8247
41,2065,10.5278,9.9005
42,2066,10.871,9.9126
43,2067,9.5761,9.8694
44,2068,11.6287,10.0696
45,2069,11.5855,10.2332
46,2070,10.6403,10.3125
47,2071,11.5432,10.5479
48,2072,10.7715,10.7278
49,2073,10.8327,10.7791
50,2074,10.3856,10.8362
51,2075,10.72,10.8555
52,2076,10.5632,10.8247
53,2077,11.3574,11.0028
54,2078,11.6221,11.0022
55,2079,11.5593,10.9995
56,2080,11.6932,11.1048
