,datetime,tempmax,year
0,1980-12-31,36.5,1980
1,1981-12-31,35.72222222222222,1981
2,1982-12-31,35.77777777777778,1982
3,1983-12-31,36.111111111111114,1983
4,1984-12-31,34.666666666666664,1984
5,1985-12-31,34.833333333333336,1985
6,1986-12-31,36.111111111111114,1986
7,1987-12-31,34.94444444444444,1987
8,1988-12-31,36.22222222222222,1988
9,1989-12-31,34.55555555555556,1989
10,1990-12-31,34.611111111111114,1990
11,1991-12-31,37.5,1991
12,1992-12-31,34.44444444444444,1992
13,1993-12-31,38.22222222222222,1993
14,1994-12-31,35.833333333333336,1994
15,1995-12-31,38.44444444444444,1995
16,1996-12-31,35.611111111111114,1996
17,1997-12-31,36.111111111111114,1997
18,1998-12-31,34.611111111111114,1998
19,1999-12-31,38.05555555555556,1999
20,2000-12-31,34.388888888888886,2000
21,2001-12-31,38.22222222222222,2001
22,2002-12-31,36.388888888888886,2002
23,2003-12-31,34.27777777777778,2003
24,2004-12-31,34.05555555555556,2004
25,2005-12-31,37.05555555555556,2005
26,2006-12-31,36.94444444444444,2006
27,2007-12-31,33.55555555555556,2007
28,2008-12-31,36.05555555555556,2008
29,2009-12-31,33.22222222222222,2009
30,2010-12-31,38.77777777777778,2010
31,2011-12-31,39.5,2011
32,2012-12-31,37.111111111111114,2012
33,2013-12-31,36.44444444444444,2013
34,2014-12-31,33.22222222222222,2014
35,2015-12-31,35.333333333333336,2015
36,2016-12-31,35.5,2016
37,2017-12-31,35.44444444444444,2017
38,2018-12-31,35.611111111111114,2018
39,2019-12-31,36.666666666666664,2019
40,2020-12-31,34.94444444444444,2020
41,2021-12-31,35.0,2021
42,2022-12-31,36.111111111111114,2022
43,2023-12-31,33.72222222222222,2023
