,datetime,tempmin,year
0,1980-12-31,-17.88888888888889,1980
1,1981-12-31,-17.555555555555557,1981
2,1982-12-31,-19.444444444444443,1982
3,1983-12-31,-16.5,1983
4,1984-12-31,-16.5,1984
5,1985-12-31,-20.333333333333332,1985
6,1986-12-31,-13.777777777777779,1986
7,1987-12-31,-14.61111111111111,1987
8,1988-12-31,-14.833333333333334,1988
9,1989-12-31,-13.88888888888889,1989
10,1990-12-31,-13.222222222222221,1990
11,1991-12-31,-12.666666666666666,1991
12,1992-12-31,-11.833333333333334,1992
13,1993-12-31,-15.055555555555555,1993
14,1994-12-31,-19.166666666666668,1994
15,1995-12-31,-14.944444444444445,1995
16,1996-12-31,-14.944444444444445,1996
17,1997-12-31,-15.666666666666666,1997
18,1998-12-31,-9.555555555555555,1998
19,1999-12-31,-13.055555555555555,1999
20,2000-12-31,-15.5,2000
21,2001-12-31,-8.944444444444445,2001
22,2002-12-31,-7.222222222222222,2002
23,2003-12-31,-13.944444444444445,2003
24,2004-12-31,-17.0,2004
25,2005-12-31,-15.166666666666666,2005
26,2006-12-31,-9.055555555555555,2006
27,2007-12-31,-12.777777777777779,2007
28,2008-12-31,-11.833333333333334,2008
29,2009-12-31,-14.166666666666666,2009
30,2010-12-31,-10.333333333333334,2010
31,2011-12-31,-13.777777777777779,2011
32,2012-12-31,-10.777777777777779,2012
33,2013-12-31,-11.722222222222221,2013
34,2014-12-31,-15.88888888888889,2014
35,2015-12-31,-16.61111111111111,2015
36,2016-12-31,-17.666666666666668,2016
37,2017-12-31,-10.722222222222221,2017
38,2018-12-31,-14.38888888888889,2018
39,2019-12-31,-14.5,2019
40,2020-12-31,-7.277777777777778,2020
41,2021-12-31,-7.277777777777778,2021
42,2022-12-31,-13.777777777777779,2022
43,2023-12-31,-14.0,2023
