,year,precip,10_year_rolling_avg
10,1990,237.26139999999998,275.0566
11,1991,264.1346,283.6291
12,1992,309.80379999999997,272.0365
13,1993,383.4892,284.767
14,1994,366.2426,293.7739
15,1995,328.57439999999997,295.4249
16,1996,196.2404,285.3004
17,1997,317.42379999999997,291.244
18,1998,349.3262,301.8257
19,1999,203.2508,295.5747
20,2000,877.9763999999999,359.6462
21,2001,746.5568,407.8884
22,2002,790.3718,455.9452
23,2003,523.5956,469.9559
24,2004,673.1,500.6416
25,2005,482.5746,516.0416
26,2006,646.0744,561.025
27,2007,797.6361999999999,609.0463
28,2008,1083.31,682.4447
29,2009,655.6755999999999,727.6871
30,2010,632.2822,703.1177
31,2011,468.8332,675.3454
32,2012,877.7224,684.0804
33,2013,631.5964,694.8805
34,2014,1405.8899999999999,768.1595
35,2015,722.8331999999999,792.1854
36,2016,661.1111999999999,793.689
37,2017,749.3254,788.858
38,2018,1072.9976,787.8267
39,2019,773.9634,799.6555
40,2020,746.3027999999999,811.0576
41,2021,592.582,823.4324
42,2022,563.8546,792.0457
43,2023,819.0992,810.7959
10,2024,848.6133892788785,814.1768
11,2025,655.2246264322093,800.3661
12,2026,742.3686079803447,797.5384
13,2027,725.3547740211143,785.7226
14,2028,721.7082066921503,781.5034
15,2029,853.1252924481087,781.7224
16,2030,1192.6780758455789,820.7256
17,2031,961.6533492280942,824.3658
18,2032,749.4990298042321,820.249
19,2033,801.774120253358,825.1999
20,2034,696.2775393640259,809.9664
21,2035,885.856839504755,833.0296
22,2036,895.7742603022562,848.3701
23,2037,910.8720548793935,866.9219
24,2038,660.9951630963333,860.8506
25,2039,669.0848855401273,842.4465
26,2040,829.4017514951775,806.1189
27,2041,718.1003106885328,781.7636
28,2042,890.6859734489408,795.8823
29,2043,747.8879090678092,790.4937
30,2044,568.1756142952145,777.6835
31,2045,624.5733073619376,751.5551
32,2046,795.6340963613548,741.5411
33,2047,727.4515693825742,723.1991
34,2048,655.7836005344507,722.6779
35,2049,811.7669142473751,736.9461
36,2050,847.5168505233378,738.7576
37,2051,718.4514305911653,738.7927
38,2052,702.4199161650831,719.9661
39,2053,865.0531159043458,731.6826
40,2054,835.0075573421709,758.3658
41,2055,810.3132281994403,776.9398
42,2056,658.4567046711745,763.2221
43,2057,925.51412234272,783.0283
44,2058,757.90073471293,793.2401
45,2059,654.1648130322792,777.4798
46,2060,623.7735076226163,755.1055
47,2061,735.1109331648258,756.7715
48,2062,907.5524401227958,777.2847
49,2063,743.7938811501299,765.1588
50,2064,632.3244612023009,744.8905
51,2065,705.0107667595075,734.3602
52,2066,798.5964481155097,748.3742
53,2067,798.5995593155385,735.6828
54,2068,579.7333840759566,717.866
55,2069,682.4219402505914,720.6917
56,2070,729.6491519921692,731.2793
57,2071,783.7381947707763,736.142
58,2072,690.6434545650627,714.4511
59,2073,864.0962541109257,726.4814
60,2074,787.1073801304738,741.9597
61,2075,666.1959149117756,738.0782
62,2076,781.9387777849261,736.4124
63,2077,746.8767231367165,731.2401
64,2078,810.6405008074726,754.3308
65,2079,568.4482141983099,742.9335
66,2080,771.9205727358203,747.1606
