,year,dew
0,2024,7.5649
1,2025,7.4858
2,2026,7.7908
3,2027,7.8885
4,2028,7.0718
5,2029,7.0603
6,2030,8.3595
7,2031,7.9537
8,2032,7.559
9,2033,7.2537
10,2034,8.1171
11,2035,8.296
12,2036,7.55
13,2037,7.8108
14,2038,7.6444
15,2039,7.9032
16,2040,8.4217
17,2041,8.2986
18,2042,9.3362
19,2043,8.3454
20,2044,7.5737
21,2045,7.3286
22,2046,7.9104
23,2047,8.4144
24,2048,8.663
25,2049,7.9662
26,2050,8.2114
27,2051,8.3806
28,2052,8.542
29,2053,9.1603
30,2054,8.8918
31,2055,8.6737
32,2056,9.04
33,2057,9.1853
34,2058,9.183
35,2059,9.2804
36,2060,8.3852
37,2061,9.6491
38,2062,9.0979
39,2063,8.7234
40,2064,8.7204
41,2065,8.5085
42,2066,8.7054
43,2067,9.491
44,2068,9.1725
45,2069,8.9528
46,2070,8.684
47,2071,8.874
48,2072,9.2168
49,2073,9.9855
50,2074,9.1049
51,2075,9.1564
52,2076,9.6528
53,2077,9.2617
54,2078,8.9055
55,2079,9.7988
56,2080,9.7941
